STEP 0; EVENT position; UNIT rover-1; POSITION [12,13]
STEP 1; EVENT position; UNIT rover-1; POSITION [11,13]
STEP 2; EVENT position; UNIT rover-1; POSITION [11,12]
STEP 3; EVENT position; UNIT rover-1; POSITION [10,13]
STEP 4; EVENT position; UNIT rover-1; POSITION [10,14]
STEP 5; EVENT position; UNIT rover-1; POSITION [9,15]
STEP 6; EVENT position; UNIT rover-1; POSITION [9,14]
STEP 7; EVENT position; UNIT rover-1; POSITION [9,13]
STEP 8; EVENT position; UNIT rover-1; POSITION [10,14]
STEP 9; EVENT position; UNIT rover-1; POSITION [9,15]
STEP 10; EVENT position; UNIT rover-1; POSITION [9,16]
STEP 11; EVENT position; UNIT rover-1; POSITION [9,15]
STEP 12; EVENT position; UNIT rover-1; POSITION [8,16]
STEP 13; EVENT position; UNIT rover-1; POSITION [7,17]
STEP 14; EVENT position; UNIT rover-1; POSITION [7,18]
STEP 15; EVENT position; UNIT rover-1; POSITION [7,19]
STEP 16; EVENT position; UNIT rover-1; POSITION [8,19]
STEP 17; EVENT position; UNIT rover-1; POSITION [7,20]
STEP 18; EVENT position; UNIT rover-1; POSITION [7,21]
STEP 19; EVENT position; UNIT rover-1; POSITION [7,22]
STEP 20; EVENT position; UNIT rover-1; POSITION [6,21]
STEP 21; EVENT position; UNIT rover-1; POSITION [6,20]
STEP 22; EVENT position; UNIT rover-1; POSITION [6,19]
STEP 23; EVENT position; UNIT rover-1; POSITION [5,18]
STEP 24; EVENT position; UNIT rover-1; POSITION [6,19]
STEP 25; EVENT position; UNIT rover-1; POSITION [5,20]
STEP 26; EVENT position; UNIT rover-1; POSITION [5,21]
STEP 27; EVENT position; UNIT rover-1; POSITION [5,20]
STEP 28; EVENT position; UNIT rover-1; POSITION [6,20]
STEP 29; EVENT position; UNIT rover-1; POSITION [5,20]
STEP 30; EVENT position; UNIT rover-1; POSITION [6,20]
STEP 31; EVENT position; UNIT rover-1; POSITION [6,21]
STEP 32; EVENT position; UNIT rover-1; POSITION [5,21]
STEP 33; EVENT position; UNIT rover-1; POSITION [5,22]
STEP 34; EVENT position; UNIT rover-1; POSITION [5,23]
STEP 35; EVENT position; UNIT rover-1; POSITION [5,22]
STEP 36; EVENT position; UNIT rover-1; POSITION [4,21]
STEP 37; EVENT position; UNIT rover-1; POSITION [3,20]
STEP 38; EVENT position; UNIT rover-1; POSITION [4,20]
STEP 39; EVENT position; UNIT rover-1; POSITION [3,20]
STEP 40; EVENT position; UNIT rover-1; POSITION [2,21]
STEP 41; EVENT position; UNIT rover-1; POSITION [3,20]
STEP 42; EVENT position; UNIT rover-1; POSITION [4,19]
STEP 43; EVENT position; UNIT rover-1; POSITION [5,20]
STEP 44; EVENT position; UNIT rover-1; POSITION [4,21]
STEP 45; EVENT position; UNIT rover-1; POSITION [3,22]
STEP 46; EVENT position; UNIT rover-1; POSITION [2,23]
